Data Consegna,Numero Cluster Serviti,Numero Clienti,Distanza Totale Stimata (km),Percorso Ottimo (NN),Cluster Percorso
2025-08-19,3,15,274.98,"[405941, 402376, 402008, 400751, 405466, 401061, 584353, 12740, 577856, 583740, 400318, 585181, 583444, 405736, 401964]","['0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '2', '2', '2', '2', '2']"
2025-08-20,1,9,106.1,"[557994, 576660, 558072, 557411, 557410, 557970, 557384, 580254, 557068]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0']"
2025-08-21,2,17,261.11,"[403522, 577965, 588494, 403281, 587480, 402002, 582767, 553783, 557288, 557190, 557574, 581308, 576512, 555747, 581287, 555390, 558274]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3']"
2025-08-22,1,7,115.35,"[550777, 558137, 557047, 555528, 604226, 578360, 583333]","['0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3']"
2025-08-23,3,17,180.49,"[557985, 551241, 557444, 578385, 586674, 400637, 12692, 585381, 584896, 588548, 587403, 404884, 583347, 588525, 581912, 577185, 581985]","['0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3']"
2025-08-24,2,14,171.42,"[15431, 584558, 580791, 583838, 400980, 16409, 581987, 401342, 586515, 14049, 585041, 17010, 14971, 403453]","['1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
2025-08-25,1,6,26.17,"[587799, 402296, 584818, 581844, 585038, 588499]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-08-26,2,11,124.69,"[555146, 557531, 558365, 605299, 557674, 558432, 557714, 13571, 588072, 405423, 588700]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0']"
2025-08-27,1,5,68.22,"[585842, 581261, 405701, 587531, 405228]","['1_3', '1_3', '1_3', '1_3', '1_3']"
2025-08-28,1,8,134.26,"[575799, 588913, 401985, 584503, 604715, 581139, 406043, 10500]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1']"
2025-08-29,1,6,42.06,"[404015, 580462, 576715, 405082, 585560, 588691]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-08-30,1,4,133.51,"[575871, 577531, 12992, 587909]","['0_1', '0_1', '0_1', '0_1']"
2025-08-31,1,3,30.13,"[403720, 401053, 580318]","['1_0', '1_0', '1_0']"
2025-09-01,2,15,169.95,"[557366, 585950, 555339, 581727, 558053, 558301, 557804, 584687, 587730, 404639, 16182, 406515, 403937, 577727, 404441]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
